"code","quest","level","path","trigger","namespaced","cumulative","drivesState","prereqs","ownCmds","nestedTriggers","posKind","posSrc","x","y","z","entity","posLevel","fireable","unresolvedArrays","file"
"M01","prepadeni","trosecko","prepadeni.01_init","01_init","False","False","True","0","0","0","none","","","","","","","False","","Barbora/trosecko/prepadeni.xml"
"M01","prepadeni","trosecko","prepadeni.endQuest","endQuest","False","True","False","5","0","0","none","","","","","","","False","","Barbora/trosecko/prepadeni.xml"
"M01","prepadeni","trosecko","prepadeni.02_skipToCamp","02_skipToCamp","False","True","True","1","0","0","none","","","","","","","False","","Barbora/trosecko/prepadeni/hibernovana_cast.xml"
"M01","prepadeni","trosecko","prepadeni.07_snoop","07_snoop","False","False","True","0","0","0","none","","","","","","","False","","Barbora/trosecko/prepadeni/hibernovana_cast.xml"
"M01","prepadeni","trosecko","prepadeni.08_massacre","08_massacre","False","False","True","0","0","0","none","","","","","","","False","","Barbora/trosecko/prepadeni/hibernovana_cast.xml"
"M01","prepadeni","trosecko","prepadeni.ptacek_statSkill_minus_10","ptacek_statSkill_minus_10","False","False","False","0","1","0","none","","","","","","","False","","Barbora/trosecko/prepadeni/hibernovana_cast.xml"
"M01","prepadeni","trosecko","prepadeni.ptacek_statSkill_minus_2","ptacek_statSkill_minus_2","False","False","False","0","1","0","none","","","","","","","False","","Barbora/trosecko/prepadeni/hibernovana_cast.xml"
"M01","prepadeni","trosecko","prepadeni.ptacek_statSkill_minus_5","ptacek_statSkill_minus_5","False","False","False","0","1","0","none","","","","","","","False","","Barbora/trosecko/prepadeni/hibernovana_cast.xml"
"M01","prepadeni","trosecko","prepadeni.ptacek_statSkill_minus_7","ptacek_statSkill_minus_7","False","False","False","0","1","0","none","","","","","","","False","","Barbora/trosecko/prepadeni/hibernovana_cast.xml"
"M01","prepadeni","trosecko","prepadeni.ptacek_statSkill_plus_10","ptacek_statSkill_plus_10","False","False","False","0","1","0","none","","","","","","","False","","Barbora/trosecko/prepadeni/hibernovana_cast.xml"
"M01","prepadeni","trosecko","prepadeni.ptacek_statSkill_plus_2","ptacek_statSkill_plus_2","False","False","False","0","1","0","none","","","","","","","False","","Barbora/trosecko/prepadeni/hibernovana_cast.xml"
"M01","prepadeni","trosecko","prepadeni.ptacek_statSkill_plus_5","ptacek_statSkill_plus_5","False","False","False","0","1","0","none","","","","","","","False","","Barbora/trosecko/prepadeni/hibernovana_cast.xml"
"M01","prepadeni","trosecko","prepadeni.ptacek_statSkill_plus_7","ptacek_statSkill_plus_7","False","False","False","0","1","0","none","","","","","","","False","","Barbora/trosecko/prepadeni/hibernovana_cast.xml"
