"code","quest","objective","drivingNode","trigger","ports","otherTargets","prereqs","consoleCommands","positional","nestedHaste","clean","file"
"M01","prepadeni","nasleduj_druzinu_pana_ptacka","rideToCamp","prepadeni.08_massacre","rideToCamp.SetDone","Output.nastavit_preset_naheho_ptacka_|Output;stream_ptackovy_druziny.odstreamovani_vorecha|stream_ptackovy_druziny;triggersequence50.Exec|TriggerSequence","","","False","0","False","Barbora/trosecko/prepadeni/hibernovana_cast.xml"
"M01","prepadeni","nasleduj_druzinu_pana_ptacka","rideToCamp","prepadeni.stopFormation","rideToCamp.SetNone","","","","False","0","True","Barbora/trosecko/prepadeni/hibernovana_cast.xml"
"M01","prepadeni","zjisti_od_ptacka_jaky_je_plan","capounPlan","","","","","","False","0","False",""
"M01","prepadeni","zavolej_vorecha_k_noze","callDog","","","","","","False","0","False",""
"M01","prepadeni","sezen_pro_vorecha_neco_k_jidlu_a_nakrm_ho","feedDog","","","","","","False","0","False",""
"M01","prepadeni","vyhraj_nad_pivcem","getRing","","","","","","False","0","False",""
"M01","prepadeni","vrat_prsten_vovsovi","returnRing","","","","","","False","0","False",""
"M01","prepadeni","vybav_se_zbroji_a_mecem_a_promluv_s_ptackem","nasad_si_zbroj_a_promluv_s_ptackem","","","","","","False","0","False",""
"M01","prepadeni","vytas_mec","vytas_mec","","","","","","False","0","False",""
"M01","prepadeni","zautoc","zautoc_na_ptacka","","","","","","False","0","False",""
"M01","prepadeni","rekni_ptackovi_ze_muze_zautocit","","","","","","","False","0","False",""
"M01","prepadeni","zautoc_v_navazujici_rade_uderu","zautoc_na_ptacka_v_navazujici_rade_uderu","","","","","","False","0","False",""
"M01","prepadeni","blokuj_utoky","blokuj_ptackovi_utoky","","","","","","False","0","False",""
"M01","prepadeni","odraz_utok_perfektnim_blokem","odraz_ptackovi_utoky_perfektnim_blokem","","","","","","False","0","False",""
"M01","prepadeni","odraz_utok_perfektnim_blokem_a_navaz_ripostou","odraz_ptackovi_utoky_perfektnim_blokem_a_navaz_ripostou","","","","","","False","0","False",""
"M01","prepadeni","zasahni_odkrytou_stranu","zasahni_ptacka_z_protilehle_strany_kde_drzi_zbran","","","","","","False","0","False",""
"M01","prepadeni","poraz_ptacka_v_duelu","poraz_ptacka_v_duelu","","","","","","False","0","False",""
"M01","prepadeni","eatWithOthers","eatWithOthers","","","","","","False","0","False",""
"M01","prepadeni","crouch","crouch","","","","","","False","0","False",""
"M01","prepadeni","opatrne_nasleduj_ptacka_po_brehu","opatrne_nasleduj_ptacka_po_brehu","","","","","","False","0","False",""
"M01","prepadeni","odlakej_pradlenu_hozenim_kaminku","stoneThrowing","","","","","","False","0","False",""
"M01","prepadeni","dostan_se_s_ptackem_pryc","followPtacek","","","","","","False","0","False",""
"M01","prepadeni","prozkoumej_vstup_do_skal","findPathInRocks","","","","","","False","0","False",""
"M01","prepadeni","prezij","fight","","","","","","False","0","False",""
"M01","prepadeni","vrat_se_za_ptackem","backToPtacek","","","","","","False","0","False",""
"M01","prepadeni","najdi_ptacka","findPtacek","","","","","","False","0","False",""
"M01","prepadeni","utikej_s_ptackem","runWithPtacek","","","","","","False","0","False",""
"M01","prepadeni","pocet_zasahu_jindra","","","","","","","False","0","False",""
"M01","prepadeni","pocet_zasahu_ptacek","","","","","","","False","0","False",""
"M02","zachrana","zastav_krvaceni_","healBleeding","","","","","","False","0","False",""
"M02","zachrana","najez_se","najezSe","","","","","","False","0","False",""
"M02","zachrana","oplachni_se_u_kade","umyjSe","","","","","","False","0","False",""
"M02","zachrana","ukaz_se_bozene","ukazSe","","","","","","False","0","False",""
"M02","zachrana","marigoldGathered_visual","sber_byliny_1","","","","","","False","0","False",""
"M02","zachrana","nettleGathered_visual","sber_byliny","","","","","","False","0","False",""
"M02","zachrana","zakopej_mrtveho_chlapa","","","","","","","False","0","False",""
"M02","zachrana","herbTracker_visual","odevzdejByliny","","","","","","False","0","False",""
"M02","zachrana","findOutWhatIsHappening_visual","findOutWhatIsHappening","","","","","","False","0","False",""
"M02","zachrana","ozbroj","weaponfinding","","","","","","False","0","False",""
"M02","zachrana","ozbroj_se","weaponfinding_1","","","","","","False","0","False",""
"M02","zachrana","handleSeekers_visual","handleSeekers","","","","","","False","0","False",""
"M02","zachrana","makeHealingPotion_visual","makeHealingPotion","","","","","","False","0","False",""
"M02","zachrana","giveHealingPotionToHag_visual","","","","","","","False","0","False",""
"M02","zachrana","goToSleep_visual","goToSleep","zachrana.goToSleep_activate","goToSleep.SetActive","","","","False","0","True","Barbora/trosecko/zachrana/hibernace/leceni_ptacka__druhy_den/alchemy_tutorial/hrac_jde_spat.xml"
"M02","zachrana","sitDown_visual","sitDown","","","","","","False","0","False",""
"M02","zachrana","leaveArea_visual","leaveArea","","","","","","False","0","False",""
"M02","zachrana","zakopej_hrdloreza_mikese","","","","","","","False","0","False",""
"M02","zachrana","zakopej_lotra_kozlika","","","","","","","False","0","False",""
"M02","zachrana","podivej_se_do_knihy","state3","","","","","","False","0","False",""
"M02","zachrana","precti_si_recept_a_pak_se_vrat_ke_stolu","state3","","","","","","False","0","False",""
"M02","zachrana","nalij_spravny_zaklad_do_kotliku","state5","","","","","","False","0","False",""
"M02","zachrana","posun_kotlik_dolu","state7","","","","","","False","0","False",""
"M02","zachrana","dostan_koltik_do_varu","state9","","","","","","False","0","False",""
"M02","zachrana","posun_kotlik_nahoru","state11","","","","","","False","0","False",""
"M02","zachrana","otevri_inventar","state13","","","","","","False","0","False",""
"M02","zachrana","nachystej_si_bylinky","state13","","","","","","False","0","False",""
"M02","zachrana","vhod_2_hrsti_hermanku_do_kotliku","state15","","","","","","False","0","False",""
"M02","zachrana","otoc_hodiny","state17","","","","","","False","0","False",""
"M02","zachrana","povar_hermanek_1_otocku","state18","","","","","","False","0","False",""
"M02","zachrana","posu","state20","","","","","","False","0","False",""
"M02","zachrana","podrt_hrst_salveje","state22","","","","","","False","0","False",""
"M02","zachrana","vhod_podrcenou_salvej_do_kotliku","state25","","","","","","False","0","False",""
"M02","zachrana","slij_lektvar","state27","","","","","","False","0","False",""
"M02","zachrana","seber_ryc","zvedniRycObecne","","","","","","False","0","False",""
"M02","zachrana","zvedni_mrtolu","bores__zvedni_mrtvolu","","","","","","False","0","False",""
"M02","zachrana","dones_mrtvolu_k_potoku","bores__dones_mrtvolu_na_misto","","","","","","False","0","False",""
"M02","zachrana","vykopej_hrob","bores__vykopej_hrob","","","","","","False","0","False",""
"M02","zachrana","poloz_mrtvolu_do_blizkosti_hrobu","bores__poloz_mrtvolu_do_hrobu","","","","","","False","0","False",""
"M02","zachrana","zakopej_mrtvolu","bores_zakopej","","","","","","False","0","False",""
"M02","zachrana","zvedni_mikese","mikes__zvedni_mrtvolu","","","","","","False","0","False",""
"M02","zachrana","dones_mikese_k_potoku","mikes__dones_mrtvolu_na_misto","","","","","","False","0","False",""
"M02","zachrana","vykopej_hrob_mikes","mikes__vykopej_hrob","","","","","","False","0","False",""
"M02","zachrana","zakopej_mikese","mikes__zakopej_mrtvolu","","","","","","False","0","False",""
"M02","zachrana","dones_kozlika_k_potoku","kozlik__dones_mrtvolu_na_misto","","","","","","False","0","False",""
"M02","zachrana","zvedni_kozlika","kozlik__zvedni_mrtvolu","","","","","","False","0","False",""
"M02","zachrana","vykopej_hrob_kozlik","kozlik__vykopej_hrob","","","","","","False","0","False",""
"M02","zachrana","zakopej_kozlika","kozlik__zakopej_mrtvolu","","","","","","False","0","False",""
"M02","zachrana","poloz_kozlika_do_blizkosti_hrobu","kozlik__poloz_mrtvolu_do_hrobu","","","","","","False","0","False",""
"M02","zachrana","poloz_mikese_do_blizkosti_hrobu","mikes__poloz_mrtvolu_do_hrobu","","","","","","False","0","False",""
